Create Date,Entity_ID,Order Customer,Country,L2_Category_ID,Weekly_Volume,Total_Weight_Kg,Mean_Value,High_Value_Raw,High_Value_Ratio,Dist_Day0,Dist_Day1,Dist_Day2,Dist_Day3,Dist_Day4,Dist_Day5,Dist_Day6
2025-11-03,GPGS_CH_368,GPGS,CH,368,3,0.30000000000000004,5.219873765380041,0,0.0,0.9999999966666667,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_CZ_368,GPGS,CZ,368,2,0.2,5.29509123112527,0,0.0,0.999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_DE_368,GPGS,DE,368,8,0.8,5.126902248783316,0,0.0,0.9999999987499999,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_DK_368,GPGS,DK,368,4,0.4,5.2771518222914295,0,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_EE_368,GPGS,EE,368,1,0.1,5.348972268327505,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_ES_368,GPGS,ES,368,1,0.1,5.221607810883709,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_FI_368,GPGS,FI,368,1,0.1,5.368914608688717,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_FR_368,GPGS,FR,368,4,0.4,5.16401747658494,0,0.0,0.9999999975,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_GB_368,GPGS,GB,368,16,1.6,5.215947689185736,0,0.0,0.999999999375,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_GR_368,GPGS,GR,368,1,0.1,5.268426900149637,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_IL_368,GPGS,IL,368,1,0.1,5.256429804707428,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_IT_368,GPGS,IT,368,1,0.1,5.450864646183437,0,0.0,0.9999999900000002,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_JP_368,GPGS,JP,368,2,0.2,5.184271877050127,0,0.0,0.999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_LV_368,GPGS,LV,368,2,0.2,5.313342419643478,0,0.0,0.999999995,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,GPGS_MY_368,GPGS,MY,368,2,0.2,5.36889364289263,0,0.0,0.999999995,0.0,0.0,0.0,0.0,0.0,0.0
